,song_name,duration_ms,url_x,popularity,song_added,song_release,song_old,album_name,release_date,album_old,artist_name
0,Blinding Lights,200040,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,90,2020-03-20T04:54:59Z,2020-03-20 04:54:59+00:00,1481,After Hours,2020-03-20,1481,The Weeknd
2,Save Your Tears,215626,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,87,2021-11-10T21:42:36Z,2021-11-10 21:42:36+00:00,881,After Hours,2020-03-20,1481,The Weeknd
4,Starboy,230453,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,91,2017-06-09T00:44:54Z,2017-06-09 00:44:54+00:00,2496,Starboy,2016-11-25,2692,The Weeknd
5,The Hills,242253,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,25,2015-09-21T03:22:27Z,2015-09-21 03:22:27+00:00,3123,Beauty Behind The Madness,2015-08-28,3147,The Weeknd
7,Can't Feel My Face,213520,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,0,2015-09-21T03:23:58Z,2015-09-21 03:23:58+00:00,3123,Beauty Behind The Madness,2015-08-28,3147,The Weeknd
9,Die For You,260253,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,87,2022-11-23T01:05:12Z,2022-11-23 01:05:12+00:00,503,Starboy,2016-11-24,2693,The Weeknd
12,I Feel It Coming,269186,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,77,2017-07-07T12:40:24Z,2017-07-07 12:40:24+00:00,2468,Starboy,2016-11-24,2693,The Weeknd
15,Stargirl Interlude,111626,https://open.spotify.com/track/5gDWsRxpJ2lZAffh5p7K0w,85,2023-08-24T06:56:12Z,2023-08-24 06:56:12+00:00,229,Starboy,2016-11-24,2693,The Weeknd
18,Earned It (Fifty Shades Of Grey),277680,https://open.spotify.com/track/4frLb7nWtsz2ymBE6k2GRP,73,2022-08-30T23:21:01Z,2022-08-30 23:21:01+00:00,588,Beauty Behind The Madness,2015-08-28,3147,The Weeknd
19,Call Out My Name,228373,https://open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN,86,2019-11-01T05:06:43Z,2019-11-01 05:06:43+00:00,1621,My Dear Melancholy;,2018-03-30,2202,The Weeknd
20,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,191013,https://open.spotify.com/track/1oFAF1hdPOickyHgbuRjyX,81,2022-06-03T06:46:46Z,2022-06-03 06:46:46+00:00,676,After Hours (Deluxe),2020-03-20,1481,The Weeknd
21,Shape of You,233712,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,86,2017-06-09T00:39:52Z,2017-06-09 00:39:52+00:00,2496,÷ (Deluxe),2017-03-03,2594,Ed Sheeran
26,Perfect,263400,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,87,2018-01-04T16:45:18Z,2018-01-04 16:45:18+00:00,2287,÷ (Deluxe),2017-03-03,2594,Ed Sheeran
31,Happier,207520,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,77,2018-01-18T15:46:47Z,2018-01-18 15:46:47+00:00,2273,÷ (Deluxe),2017-03-03,2594,Ed Sheeran
36,Castle on the Hill,261153,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,79,2022-08-30T23:21:01Z,2022-08-30 23:21:01+00:00,588,÷ (Deluxe),2017-03-03,2594,Ed Sheeran
41,Galway Girl,170826,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,79,2017-06-01T03:45:33Z,2017-06-01 03:45:33+00:00,2504,÷ (Deluxe),2017-03-03,2594,Ed Sheeran
46,Photograph,258986,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL,84,2015-11-12T15:51:28Z,2015-11-12 15:51:28+00:00,3071,x (Deluxe Edition),2014-06-21,3580,Ed Sheeran
49,Thinking out Loud,281560,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f,82,2014-11-24T21:44:23Z,2014-11-24 21:44:23+00:00,3424,x (Deluxe Edition),2014-06-21,3580,Ed Sheeran
52,I See Fire,299146,https://open.spotify.com/track/5pY3ovFxbvAg7reGZjJQSp,0,2014-07-22T02:28:56Z,2014-07-22 02:28:56+00:00,3549,x (Deluxe Edition),2014-06-21,3580,Ed Sheeran
55,I Don't Care (with Justin Bieber),219946,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,67,2019-08-31T17:48:20Z,2019-08-31 17:48:20+00:00,1683,No.6 Collaborations Project,2019-07-12,1733,Ed Sheeran
58,Beautiful People (feat. Khalid),197866,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,72,2019-11-01T03:29:45Z,2019-11-01 03:29:45+00:00,1621,No.6 Collaborations Project,2019-07-12,1733,Ed Sheeran
61,South of the Border (feat. Camila Cabello & Cardi B),204466,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,73,2021-08-09T23:38:23Z,2021-08-09 23:38:23+00:00,974,No.6 Collaborations Project,2019-07-12,1733,Ed Sheeran
64,Bad Habits,230746,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d,81,2021-11-13T04:55:18Z,2021-11-13 04:55:18+00:00,878,=,2021-10-29,893,Ed Sheeran
66,Shivers,207853,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5,84,2022-03-07T20:59:10Z,2022-03-07 20:59:10+00:00,764,=,2021-10-29,893,Ed Sheeran
68,The A Team,258373,https://open.spotify.com/track/1VdZ0vKfR5jneCmWIUAMxK,73,2014-02-12T11:56:41Z,2014-02-12 11:56:41+00:00,3709,+,2011-09-09,4596,Ed Sheeran
69,Someone You Loved,182160,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,89,2019-08-31T17:45:01Z,2019-08-31 17:45:01+00:00,1683,Divinely Uninspired To A Hellish Extent,2019-05-17,1789,Lewis Capaldi
71,Bruises,220492,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG,81,2021-08-08T01:23:36Z,2021-08-08 01:23:36+00:00,975,Divinely Uninspired To A Hellish Extent,2019-05-17,1789,Lewis Capaldi
73,Before You Go,215106,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,84,2021-08-08T01:23:36Z,2021-08-08 01:23:36+00:00,975,Divinely Uninspired To A Hellish Extent (Extended Edition),2019-11-22,1600,Lewis Capaldi
74,As It Was,167303,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,91,2022-08-30T23:21:01Z,2022-08-30 23:21:01+00:00,588,Harry's House,2022-05-20,690,Harry Styles
76,Late Night Talking,177954,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK,83,2023-08-24T07:00:30Z,2023-08-24 07:00:30+00:00,229,Harry's House,2022-05-20,690,Harry Styles
78,Watermelon Sugar,174000,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,87,2020-07-16T17:42:31Z,2020-07-16 17:42:31+00:00,1363,Fine Line,2019-12-13,1579,Harry Styles
81,Adore You,207133,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,84,2020-07-16T17:42:35Z,2020-07-16 17:42:35+00:00,1363,Fine Line,2019-12-13,1579,Harry Styles
84,Falling,240133,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,83,2021-08-09T16:25:45Z,2021-08-09 16:25:45+00:00,974,Fine Line,2019-12-13,1579,Harry Styles
87,Sign of the Times,340706,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN,84,2017-07-07T01:31:50Z,2017-07-07 01:31:50+00:00,2468,Harry Styles,2017-05-12,2524,Harry Styles
88,Dance Monkey,209438,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30,75,2022-05-13T18:52:31Z,2022-05-13 18:52:31+00:00,697,Welcome To The Madhouse (Deluxe),2021-07-16,998,Tones And I
89,One Dance,173986,https://open.spotify.com/track/12VWzyPDBCc8fqeWCAfNwR,0,2016-06-27T04:39:48Z,2016-06-27 04:39:48+00:00,2843,Views,2016-05-13,2888,Drake
91,Too Good,263373,https://open.spotify.com/track/7fJtPlEZKxu6gvkfBFc5tW,0,2016-06-27T23:52:30Z,2016-06-27 23:52:30+00:00,2843,Views,2016-05-13,2888,Drake
93,God's Plan,198973,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,84,2019-11-08T23:22:39Z,2019-11-08 23:22:39+00:00,1614,Scorpion,2018-06-29,2111,Drake
97,In My Feelings,217925,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,75,2019-02-08T07:16:44Z,2019-02-08 07:16:44+00:00,1887,Scorpion,2018-06-29,2111,Drake
101,Nice For What,210746,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,78,2022-08-30T23:21:01Z,2022-08-30 23:21:01+00:00,588,Scorpion,2018-06-29,2111,Drake
105,Nonstop,238614,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,78,2019-08-31T17:43:00Z,2019-08-31 17:43:00+00:00,1683,Scorpion,2018-06-29,2111,Drake
109,Passionfruit,298940,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz,84,2017-05-31T13:34:54Z,2017-05-31 13:34:54+00:00,2505,More Life,2017-03-18,2579,Drake
110,Hotline Bling,267066,https://open.spotify.com/track/0wwPcA6wtMf6HUMpIRdeP7,78,2017-06-09T00:50:06Z,2017-06-09 00:50:06+00:00,2496,Views,2016-05-06,2895,Drake
111,Toosie Slide,247058,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,70,2023-06-14T22:56:38Z,2023-06-14 22:56:38+00:00,300,Toosie Slide,2020-04-03,1467,Drake
112,Jimmy Cooks (feat. 21 Savage),218364,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe,85,2023-08-24T06:57:17Z,2023-08-24 06:57:17+00:00,229,Honestly; Nevermind,2022-06-17,662,Drake
113,Fake Love,207813,https://open.spotify.com/track/6NMNgWgEAzde5M8U3lc6FN,1,2016-12-12T22:22:02Z,2016-12-12 22:22:02+00:00,2675,Fake Love,2016-10-24,2724,Drake
114,Hold On; We're Going Home,227880,https://open.spotify.com/track/14Rcq31SafFBHNEwXrtR2B,2,2014-02-12T11:45:18Z,2014-02-12 11:45:18+00:00,3709,Nothing Was The Same (Deluxe),2013-01-01,4116,Drake
115,Money In The Grave (Drake ft. Rick Ross),205426,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,76,2019-11-01T04:59:55Z,2019-11-01 04:59:55+00:00,1621,The Best In The World Pack,2019-06-15,1760,Drake
116,STAY (with Justin Bieber),141805,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,28,2021-08-08T01:20:27Z,2021-08-08 01:20:27+00:00,975,F*CK LOVE 3: OVER YOU,2021-07-23,991,The Kid LAROI
117,WITHOUT YOU,161384,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA,9,2021-09-29T07:20:07Z,2021-09-29 07:20:07+00:00,923,F*CK LOVE (SAVAGE),2020-11-06,1250,The Kid LAROI
118,rockstar (feat. 21 Savage),218146,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,83,2020-03-28T02:36:06Z,2020-03-28 02:36:06+00:00,1473,beerbongs & bentleys,2018-04-27,2174,Post Malone
121,Better Now,231266,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,80,2018-06-09T21:04:51Z,2018-06-09 21:04:51+00:00,2131,beerbongs & bentleys,2018-04-27,2174,Post Malone
124,Psycho (feat. Ty Dolla $ign),221440,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,76,2020-03-28T02:38:52Z,2020-03-28 02:38:52+00:00,1473,beerbongs & bentleys,2018-04-27,2174,Post Malone
127,Circles,215280,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,86,2019-11-01T04:09:44Z,2019-11-01 04:09:44+00:00,1621,Hollywood's Bleeding,2019-09-06,1677,Post Malone
130,Wow.,149546,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,81,2019-11-01T04:09:51Z,2019-11-01 04:09:51+00:00,1621,Hollywood's Bleeding,2019-09-06,1677,Post Malone
133,Goodbyes (feat. Young Thug),174853,https://open.spotify.com/track/0t3ZvGKlmYmVsDzBJAXK8C,78,2019-11-01T04:09:42Z,2019-11-01 04:09:42+00:00,1621,Hollywood's Bleeding,2019-09-06,1677,Post Malone
136,Congratulations,220293,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,82,2017-06-01T03:46:40Z,2017-06-01 03:46:40+00:00,2504,Stoney (Deluxe),2016-12-09,2678,Post Malone
140,I Fall Apart,223346,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,78,2017-11-28T15:42:50Z,2017-11-28 15:42:50+00:00,2324,Stoney (Deluxe),2016-12-09,2678,Post Malone
144,White Iverson,256532,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w,76,2019-11-11T18:21:22Z,2019-11-11 18:21:22+00:00,1611,Stoney (Deluxe),2016-12-09,2678,Post Malone
148,Go Flex,179613,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ,77,2017-11-28T15:42:56Z,2017-11-28 15:42:56+00:00,2324,Stoney (Deluxe),2016-12-09,2678,Post Malone
152,Candy Paint,229573,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf,0,2018-01-04T16:49:18Z,2018-01-04 16:49:18+00:00,2287,Candy Paint,2017-10-20,2363,Post Malone
153,I Like You (A Happier Song) (with Doja Cat),192840,https://open.spotify.com/track/0O6u0VJ46W86TxN9wgyqDj,81,2023-05-25T04:19:33Z,2023-05-25 04:19:33+00:00,320,Twelve Carat Toothache,2022-06-03,676,Post Malone
