,AlbumName,URI
0,The Highlights (Deluxe),spotify:album:18sR8zHx4zsVJUI4bHWuPC
1,Starboy (Deluxe),spotify:album:35dut3ICqF3NEDkjxfzJJ1
2,Live At SoFi Stadium,spotify:album:1OARrXe5sB0gyy3MhQ8h92
3,Avatar: The Way of Water (Original Motion Picture Soundtrack),spotify:album:4M2Mf4pmARKGVT9MLCe3HA
4,Dawn FM (Alternate World),spotify:album:12INlMsFtBjyehNnawBv36
5,Dawn FM,spotify:album:2nLOHgzXzwFEpl62zAgCEC
6,After Hours (Deluxe),spotify:album:742eAldb4AJKLoPgJhGRE7
7,After Hours,spotify:album:4yP0hdKOZPNshxUOjY0cZj
8,"My Dear Melancholy,",spotify:album:4qZBW3f2Q8y0k1A84d4iAO
9,Starboy,spotify:album:2ODvWsOgouMbaA5xf0RkJe
10,Beauty Behind The Madness,spotify:album:0P3oVJBFOv3TDXlYRhGL7s
11,Kiss Land,spotify:album:2FgMWuwMeTgJArP2RF3upF
12,Trilogy,spotify:album:2XGEyGU76kj55OdHWynX0S
13,Echoes Of Silence (Original),spotify:album:04hy4jb1GDD00otiwzsFUB
14,Thursday (Original),spotify:album:6F87lH0I09qlrzvCCKc7lz
15,House Of Balloons (Original),spotify:album:7zCODUHkfuRxsUjtuzNqbd
