,Name,URI,acoustic,danceability,energy,speechiness,instrumentalness,loudness,tempo,liveness,valence
0,Starboy,spotify:track:7MXVkk9YMctZqd1Srtv4MB,0.141,0.679,0.587,0.276,6.35e-06,-7.015,186.003,0.137,0.486
1,Party Monster,spotify:track:4F7A0DXBrmUAkp32uenhZt,0.189,0.573,0.63,0.105,2.31e-05,-8.389,77.525,0.259,0.218
2,False Alarm,spotify:track:4oeaIftdpT3JuZLcCkKmVE,0.0324,0.517,0.677,0.0746,3.37e-05,-6.373,173.978,0.189,0.192
3,Reminder,spotify:track:37F0uwRSrdzkBiuj0D5UHI,0.142,0.706,0.505,0.193,0.0,-6.923,160.053,0.164,0.388
4,Rockin’,spotify:track:36YCdzT57us0LhDmCYtrNE,0.0133,0.738,0.885,0.206,0.0,-5.547,112.878,0.0821,0.752
5,Secrets,spotify:track:00NAQYOP4AmWR549nnYJZu,0.0155,0.664,0.771,0.0533,9.6e-06,-5.779,109.945,0.46,0.763
6,True Colors,spotify:track:1oGdVdYjeQvojGKDddxLQQ,0.286,0.624,0.424,0.24,0.0,-8.237,76.671,0.173,0.584
7,Stargirl Interlude,spotify:track:4EDijkJdHBZZ0GwJ12iTAj,0.351,0.638,0.474,0.124,0.191,-12.7,179.771,0.105,0.441
8,Sidewalks,spotify:track:4h90qkbnW1Qq6pBhoPvwko,0.147,0.542,0.72,0.0628,0.0,-5.136,149.828,0.348,0.623
9,Six Feet Under,spotify:track:4mU5iXHeLgbR94siF7p1sY,0.129,0.772,0.504,0.0761,0.0,-8.219,140.035,0.125,0.244
10,Love To Lay,spotify:track:27BgDmciSjoxTG0almHTpZ,0.052,0.711,0.807,0.0608,0.0,-5.052,116.971,0.214,0.698
11,A Lonely Night,spotify:track:0ifooM33X1iBxVYyOkSbXW,0.0431,0.853,0.663,0.0755,8.71e-06,-6.955,113.998,0.0891,0.864
12,Attention,spotify:track:6pDVjCUA3B1vg9waKutAsv,0.688,0.671,0.428,0.124,0.000182,-7.052,148.04,0.119,0.362
13,Ordinary Life,spotify:track:15k2nBQJ0teDmPZHrOXL2N,0.0275,0.537,0.587,0.0771,0.0,-7.486,149.748,0.0961,0.365
14,Nothing Without You,spotify:track:57qiTKh8bVX0VtfUNTQqhw,0.0646,0.575,0.634,0.068,0.0,-8.1,109.825,0.0878,0.191
15,All I Know,spotify:track:0NWqNXBJTpXbkI5rPWNy3p,0.421,0.467,0.417,0.074,0.000202,-10.614,120.021,0.102,0.171
16,Die For You,spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,0.111,0.582,0.525,0.0627,0.0,-7.163,133.249,0.134,0.51
17,I Feel It Coming,spotify:track:3dhjNA0jGA8vHBQ1VdD6vV,0.428,0.773,0.819,0.118,0.0,-5.946,92.987,0.0679,0.585
